2025-11-25 19:38:13 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 192.168.1.9 | PID: 2680 | Thread: 29940 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 19:38:26 | INFO     | app | Usuario: Patricio (ID:2, Rol:coordinador) | IP: 192.168.1.9 | PID: 2680 | Thread: 17848 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (coordinador)
2025-11-25 19:41:13 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 192.168.1.9 | PID: 2680 | Thread: 19356 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 19:41:15 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 192.168.1.9 | PID: 2680 | Thread: 24432 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 19:42:45 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 127.0.0.1 | PID: 2680 | Thread: 12176 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 19:44:46 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 192.168.1.9 | PID: 2680 | Thread: 29168 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 19:44:55 | INFO     | app | Usuario: Patricio (ID:2, Rol:coordinador) | IP: 192.168.1.9 | PID: 2680 | Thread: 18192 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (coordinador)
2025-11-25 19:45:07 | INFO     | app | Usuario: Patricio (ID:2, Rol:coordinador) | IP: 192.168.1.9 | PID: 2680 | Thread: 5480 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (coordinador)
2025-11-25 19:47:35 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 127.0.0.1 | PID: 2680 | Thread: 22736 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 19:47:52 | INFO     | app | Usuario: Patricio (ID:2, Rol:coordinador) | IP: 127.0.0.1 | PID: 2680 | Thread: 10508 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (coordinador)
2025-11-25 19:54:13 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 192.168.1.9 | PID: 2680 | Thread: 24876 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 19:54:15 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 192.168.1.9 | PID: 2680 | Thread: 12668 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 19:54:33 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 192.168.1.9 | PID: 2680 | Thread: 30032 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 19:54:45 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 192.168.1.9 | PID: 2680 | Thread: 17720 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 19:55:18 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 192.168.1.9 | PID: 2680 | Thread: 30104 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 19:57:56 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 127.0.0.1 | PID: 2680 | Thread: 29836 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 19:57:57 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 127.0.0.1 | PID: 2680 | Thread: 22116 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 19:58:09 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 127.0.0.1 | PID: 2680 | Thread: 26368 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
